sessionKey,case,run,cluster,userType,overallCorrectness,overallRelevance,overallCompleteness,toolFeedback,usedModelChecker,modelCheckerHelpfulness,usedAutoFix,autoFixHelpfulness,frustration
R1CAIXTJ,6,3,3,expert,6,7,6,4,Yes,3.0,Yes,4.0,2
R2BVQTYK,5,1,3,expert,2,3,2,4,Yes,4.0,Yes,3.0,2
R1DJVSFC,1,2,1,expert,5,6,6,4,Yes,5.0,Yes,4.0,4
R1UDJTYD,5,2,3,expert,6,5,5,3,Yes,4.0,Yes,3.0,4
R1MXHSCE,5,3,3,expert,6,7,6,3,Yes,4.0,Yes,3.0,4
R1XSJGHP,6,2,3,expert,6,6,7,4,No,,No,,2
R1MLAFMY,1,3,1,expert,6,6,6,3,Yes,4.0,Yes,2.0,2
R2EYARSS,1,2,1,expert,5,6,6,3,Yes,4.0,Yes,4.0,1
R1MISBBC,4,1,2,expert,5,7,7,3,Yes,4.0,Yes,4.0,3
R1MISBBC,6,1,3,expert,5,7,6,4,Yes,4.0,Yes,4.0,3
R2ZKDKCV,1,3,1,expert,6,7,6,1,Yes,3.0,Yes,1.0,5
R2LXDUWR,5,3,3,expert,7,7,7,4,Yes,4.0,Yes,4.0,2
R2YCRAQK,4,1,2,expert,6,6,7,4,Yes,4.0,No,,2
R2YCRAQK,6,1,3,expert,7,7,7,5,No,,No,,1
R2FNPLCG,5,2,3,expert,6,6,7,3,Yes,4.0,Yes,3.0,2
R4a1B,5,1,3,expert,6,7,6,3,Yes,5.0,Yes,3.0,3
R2GHYARL,6,2,3,expert,4,6,6,3,Yes,5.0,No,,4
R2SIXTHL,6,3,3,expert,3,6,3,4,Yes,4.0,Yes,2.0,3
R2LNEXLA,1,1,1,expert,6,7,6,4,Yes,4.0,Yes,4.0,2
